No_of_Apex_classes_Created__c,Complexity_of_Apex_class_change__c,No_of_Aura_Component_Created__c,Complexity_of_Aura_Component_change__c,No_of_LWC_Component_Created__c,Complexity_of_LWC_Component_change__c,No_of_Vf_Page_Created__c,Complexity_of_VF_Page_change__c,No_Of_Configurable_Changes__c,Qa_Complexity__c,Qa_TestCases__c,Story_Point__c,
0,0,0,0,2,5,0,0,5,2,5,8,
0,0,0,0,2,5,0,0,5,5,10,8,
0,0,0,0,3,2,0,0,5,3,8,8,
0,0,0,0,3,2,0,0,5,5,15,8,
0,0,0,0,3,3,0,0,5,3,8,8,
0,0,0,0,3,3,0,0,5,5,15,8,
0,0,0,0,3,4,0,0,5,3,8,8,
0,0,0,0,3,4,0,0,5,5,15,8,
0,0,0,0,3,5,0,0,5,3,8,8,
0,0,0,0,3,5,0,0,5,5,15,8,
0,0,0,0,4,2,0,0,5,3,8,5,
0,0,0,0,4,2,0,0,5,5,15,5,
0,0,0,0,4,3,0,0,5,3,8,8,
0,0,0,0,4,3,0,0,5,5,15,8,
0,0,0,0,4,4,0,0,5,3,8,8,
0,0,0,0,4,4,0,0,5,5,15,8,
0,0,0,0,4,5,0,0,5,3,8,13,
0,0,0,0,4,5,0,0,5,5,15,13,
0,0,0,0,5,2,0,0,5,3,8,8,
0,0,0,0,5,2,0,0,5,5,15,8,
0,0,0,0,5,3,0,0,5,3,8,8,
0,0,0,0,5,3,0,0,5,5,15,8,
0,0,0,0,5,4,0,0,5,3,8,13,
0,0,0,0,5,4,0,0,5,5,15,13,
0,0,0,0,5,5,0,0,5,3,8,13,
0,0,0,0,5,5,0,0,5,5,15,13,
